{'use_physical': True, 'iter_num': 20000, 'train_batch_size': 16, 'last_iter': 0, 'lr': 0.0002, 'lr_decay': 0.9, 'weight_decay': 2e-05, 'momentum': 0.9, 'snapshot': '', 'val_freq': 1000, 'crop_size': 512}

[iter 1], [train loss 0.90704], [loss_x_fusion 0.15496], [loss_x_j1 0.24923], [loss_x_j2 0.13202], [loss_x_j3 0.13112], [loss_x_j4 0.23971], [lr 0.0002000000000]
[validate]: [iter 2], [loss 0.10104] [PSNR 18.0509] [SSIM 0.6550] [MSE 0.0162]
[iter 2], [train loss 0.81585], [loss_x_fusion 0.14508], [loss_x_j1 0.19714], [loss_x_j2 0.14650], [loss_x_j3 0.13967], [loss_x_j4 0.18747], [lr 0.0001999910000]
[iter 3], [train loss 0.77260], [loss_x_fusion 0.13970], [loss_x_j1 0.18406], [loss_x_j2 0.13673], [loss_x_j3 0.13558], [loss_x_j4 0.17652], [lr 0.0001999819999]
[iter 4], [train loss 0.71854], [loss_x_fusion 0.12625], [loss_x_j1 0.16793], [loss_x_j2 0.13340], [loss_x_j3 0.13011], [loss_x_j4 0.16085], [lr 0.0001999729998]
[iter 5], [train loss 0.69992], [loss_x_fusion 0.12405], [loss_x_j1 0.15762], [loss_x_j2 0.13563], [loss_x_j3 0.13092], [loss_x_j4 0.15171], [lr 0.0001999639996]
[iter 6], [train loss 0.66478], [loss_x_fusion 0.11736], [loss_x_j1 0.14787], [loss_x_j2 0.12996], [loss_x_j3 0.12661], [loss_x_j4 0.14298], [lr 0.0001999549994]
[iter 7], [train loss 0.64812], [loss_x_fusion 0.11500], [loss_x_j1 0.14100], [loss_x_j2 0.12909], [loss_x_j3 0.12542], [loss_x_j4 0.13761], [lr 0.0001999459992]
[iter 8], [train loss 0.62961], [loss_x_fusion 0.11244], [loss_x_j1 0.13616], [loss_x_j2 0.12510], [loss_x_j3 0.12235], [loss_x_j4 0.13355], [lr 0.0001999369989]
[iter 9], [train loss 0.63253], [loss_x_fusion 0.11411], [loss_x_j1 0.13565], [loss_x_j2 0.12400], [loss_x_j3 0.12451], [loss_x_j4 0.13426], [lr 0.0001999279986]
[iter 10], [train loss 0.62139], [loss_x_fusion 0.11224], [loss_x_j1 0.13252], [loss_x_j2 0.12215], [loss_x_j3 0.12244], [loss_x_j4 0.13204], [lr 0.0001999189982]
[iter 11], [train loss 0.61083], [loss_x_fusion 0.11074], [loss_x_j1 0.12956], [loss_x_j2 0.12029], [loss_x_j3 0.12137], [loss_x_j4 0.12888], [lr 0.0001999099977]
[iter 12], [train loss 0.59970], [loss_x_fusion 0.10888], [loss_x_j1 0.12714], [loss_x_j2 0.11744], [loss_x_j3 0.11997], [loss_x_j4 0.12627], [lr 0.0001999009973]
[iter 13], [train loss 0.58578], [loss_x_fusion 0.10630], [loss_x_j1 0.12294], [loss_x_j2 0.11544], [loss_x_j3 0.11892], [loss_x_j4 0.12217], [lr 0.0001998919968]
[iter 14], [train loss 0.58523], [loss_x_fusion 0.10663], [loss_x_j1 0.12252], [loss_x_j2 0.11565], [loss_x_j3 0.11831], [loss_x_j4 0.12213], [lr 0.0001998829962]
[iter 15], [train loss 0.57942], [loss_x_fusion 0.10593], [loss_x_j1 0.12094], [loss_x_j2 0.11517], [loss_x_j3 0.11689], [loss_x_j4 0.12049], [lr 0.0001998739956]
[iter 16], [train loss 0.57224], [loss_x_fusion 0.10473], [loss_x_j1 0.11932], [loss_x_j2 0.11392], [loss_x_j3 0.11529], [loss_x_j4 0.11898], [lr 0.0001998649949]
[iter 17], [train loss 0.56211], [loss_x_fusion 0.10290], [loss_x_j1 0.11698], [loss_x_j2 0.11210], [loss_x_j3 0.11325], [loss_x_j4 0.11688], [lr 0.0001998559942]
[iter 18], [train loss 0.56741], [loss_x_fusion 0.10403], [loss_x_j1 0.11703], [loss_x_j2 0.11454], [loss_x_j3 0.11510], [loss_x_j4 0.11671], [lr 0.0001998469935]
[iter 19], [train loss 0.55900], [loss_x_fusion 0.10257], [loss_x_j1 0.11516], [loss_x_j2 0.11324], [loss_x_j3 0.11328], [loss_x_j4 0.11474], [lr 0.0001998379927]
[iter 20], [train loss 0.55154], [loss_x_fusion 0.10137], [loss_x_j1 0.11377], [loss_x_j2 0.11151], [loss_x_j3 0.11147], [loss_x_j4 0.11341], [lr 0.0001998289919]
[iter 21], [train loss 0.55183], [loss_x_fusion 0.10164], [loss_x_j1 0.11312], [loss_x_j2 0.11267], [loss_x_j3 0.11153], [loss_x_j4 0.11287], [lr 0.0001998199910]
[iter 22], [train loss 0.55230], [loss_x_fusion 0.10186], [loss_x_j1 0.11255], [loss_x_j2 0.11385], [loss_x_j3 0.11190], [loss_x_j4 0.11215], [lr 0.0001998109901]
[iter 23], [train loss 0.54530], [loss_x_fusion 0.10051], [loss_x_j1 0.11066], [loss_x_j2 0.11297], [loss_x_j3 0.11083], [loss_x_j4 0.11032], [lr 0.0001998019891]
[iter 24], [train loss 0.54138], [loss_x_fusion 0.09994], [loss_x_j1 0.10963], [loss_x_j2 0.11223], [loss_x_j3 0.10988], [loss_x_j4 0.10970], [lr 0.0001997929881]
[iter 25], [train loss 0.53697], [loss_x_fusion 0.09910], [loss_x_j1 0.10858], [loss_x_j2 0.11144], [loss_x_j3 0.10902], [loss_x_j4 0.10884], [lr 0.0001997839870]
[iter 26], [train loss 0.53502], [loss_x_fusion 0.09892], [loss_x_j1 0.10818], [loss_x_j2 0.11105], [loss_x_j3 0.10838], [loss_x_j4 0.10850], [lr 0.0001997749859]
[iter 27], [train loss 0.53011], [loss_x_fusion 0.09795], [loss_x_j1 0.10710], [loss_x_j2 0.11008], [loss_x_j3 0.10747], [loss_x_j4 0.10751], [lr 0.0001997659848]
[iter 28], [train loss 0.52558], [loss_x_fusion 0.09719], [loss_x_j1 0.10624], [loss_x_j2 0.10894], [loss_x_j3 0.10636], [loss_x_j4 0.10685], [lr 0.0001997569836]
[iter 29], [train loss 0.52601], [loss_x_fusion 0.09748], [loss_x_j1 0.10616], [loss_x_j2 0.10884], [loss_x_j3 0.10628], [loss_x_j4 0.10725], [lr 0.0001997479824]
[iter 30], [train loss 0.52780], [loss_x_fusion 0.09801], [loss_x_j1 0.10645], [loss_x_j2 0.10901], [loss_x_j3 0.10667], [loss_x_j4 0.10765], [lr 0.0001997389811]
[iter 31], [train loss 0.52612], [loss_x_fusion 0.09774], [loss_x_j1 0.10590], [loss_x_j2 0.10890], [loss_x_j3 0.10653], [loss_x_j4 0.10706], [lr 0.0001997299797]
[iter 32], [train loss 0.52141], [loss_x_fusion 0.09695], [loss_x_j1 0.10509], [loss_x_j2 0.10768], [loss_x_j3 0.10535], [loss_x_j4 0.10634], [lr 0.0001997209784]
[iter 33], [train loss 0.51622], [loss_x_fusion 0.09598], [loss_x_j1 0.10399], [loss_x_j2 0.10667], [loss_x_j3 0.10425], [loss_x_j4 0.10532], [lr 0.0001997119769]
[iter 34], [train loss 0.51352], [loss_x_fusion 0.09556], [loss_x_j1 0.10350], [loss_x_j2 0.10601], [loss_x_j3 0.10363], [loss_x_j4 0.10482], [lr 0.0001997029755]
[iter 35], [train loss 0.51074], [loss_x_fusion 0.09509], [loss_x_j1 0.10301], [loss_x_j2 0.10535], [loss_x_j3 0.10304], [loss_x_j4 0.10426], [lr 0.0001996939740]
[iter 36], [train loss 0.51003], [loss_x_fusion 0.09508], [loss_x_j1 0.10279], [loss_x_j2 0.10515], [loss_x_j3 0.10283], [loss_x_j4 0.10419], [lr 0.0001996849724]
[iter 37], [train loss 0.50842], [loss_x_fusion 0.09486], [loss_x_j1 0.10256], [loss_x_j2 0.10466], [loss_x_j3 0.10241], [loss_x_j4 0.10393], [lr 0.0001996759708]
[iter 38], [train loss 0.50771], [loss_x_fusion 0.09476], [loss_x_j1 0.10222], [loss_x_j2 0.10477], [loss_x_j3 0.10235], [loss_x_j4 0.10361], [lr 0.0001996669692]
[iter 39], [train loss 0.50360], [loss_x_fusion 0.09397], [loss_x_j1 0.10128], [loss_x_j2 0.10391], [loss_x_j3 0.10172], [loss_x_j4 0.10271], [lr 0.0001996579675]
[iter 40], [train loss 0.50252], [loss_x_fusion 0.09380], [loss_x_j1 0.10093], [loss_x_j2 0.10392], [loss_x_j3 0.10145], [loss_x_j4 0.10242], [lr 0.0001996489658]
[iter 41], [train loss 0.49899], [loss_x_fusion 0.09319], [loss_x_j1 0.10020], [loss_x_j2 0.10316], [loss_x_j3 0.10063], [loss_x_j4 0.10181], [lr 0.0001996399640]
