{'use_physical': True, 'iter_num': 20000, 'train_batch_size': 4, 'last_iter': 0, 'lr': 0.0002, 'lr_decay': 0.9, 'weight_decay': 2e-05, 'momentum': 0.9, 'snapshot': '', 'val_freq': 1000, 'crop_size': 512}

[iter 1], [train loss 0.83764], [loss_x_fusion 0.14256], [loss_x_j1 0.21320], [loss_x_j2 0.13608], [loss_x_j3 0.13669], [loss_x_j4 0.20910], [lr 0.0002000000000]
[validate]: [iter 2], [loss 0.14760] [PSNR 15.0534] [SSIM 0.5638] [MSE 0.0320]
[iter 2], [train loss 0.82939], [loss_x_fusion 0.14127], [loss_x_j1 0.21127], [loss_x_j2 0.13486], [loss_x_j3 0.13348], [loss_x_j4 0.20850], [lr 0.0001999910000]
[iter 3], [train loss 0.84005], [loss_x_fusion 0.14653], [loss_x_j1 0.21863], [loss_x_j2 0.13204], [loss_x_j3 0.12775], [loss_x_j4 0.21511], [lr 0.0001999819999]
[iter 4], [train loss 0.80242], [loss_x_fusion 0.13824], [loss_x_j1 0.19777], [loss_x_j2 0.13389], [loss_x_j3 0.13840], [loss_x_j4 0.19412], [lr 0.0001999729998]
[iter 5], [train loss 0.74745], [loss_x_fusion 0.12960], [loss_x_j1 0.17202], [loss_x_j2 0.13551], [loss_x_j3 0.14019], [loss_x_j4 0.17012], [lr 0.0001999639996]
[iter 6], [train loss 0.77821], [loss_x_fusion 0.13824], [loss_x_j1 0.17354], [loss_x_j2 0.14514], [loss_x_j3 0.15029], [loss_x_j4 0.17101], [lr 0.0001999549994]
[iter 7], [train loss 0.76557], [loss_x_fusion 0.13735], [loss_x_j1 0.16786], [loss_x_j2 0.14558], [loss_x_j3 0.15069], [loss_x_j4 0.16410], [lr 0.0001999459992]
[iter 8], [train loss 0.73760], [loss_x_fusion 0.13277], [loss_x_j1 0.15950], [loss_x_j2 0.14023], [loss_x_j3 0.14632], [loss_x_j4 0.15878], [lr 0.0001999369989]
[iter 9], [train loss 0.60321], [loss_x_fusion 0.11298], [loss_x_j1 0.11018], [loss_x_j2 0.13183], [loss_x_j3 0.12922], [loss_x_j4 0.11900], [lr 0.0001999279986]
[iter 10], [train loss 0.62946], [loss_x_fusion 0.11624], [loss_x_j1 0.11146], [loss_x_j2 0.14420], [loss_x_j3 0.14458], [loss_x_j4 0.11298], [lr 0.0001999189982]
[iter 11], [train loss 0.68582], [loss_x_fusion 0.12646], [loss_x_j1 0.12090], [loss_x_j2 0.15703], [loss_x_j3 0.16062], [loss_x_j4 0.12080], [lr 0.0001999099977]
[iter 12], [train loss 0.70045], [loss_x_fusion 0.12958], [loss_x_j1 0.12127], [loss_x_j2 0.16190], [loss_x_j3 0.16713], [loss_x_j4 0.12056], [lr 0.0001999009973]
[iter 13], [train loss 0.69130], [loss_x_fusion 0.12841], [loss_x_j1 0.12194], [loss_x_j2 0.15840], [loss_x_j3 0.16196], [loss_x_j4 0.12058], [lr 0.0001998919968]
