{'use_physical': True, 'iter_num': 20000, 'train_batch_size': 16, 'last_iter': 0, 'lr': 0.0002, 'lr_decay': 0.9, 'weight_decay': 2e-05, 'momentum': 0.9, 'snapshot': '', 'val_freq': 1000, 'crop_size': 512}

[iter 1], [train loss 0.75967], [loss_x_fusion 0.13332], [loss_x_j1 0.15307], [loss_x_j2 0.15624], [loss_x_j3 0.19567], [loss_x_j4 0.12137], [lr 0.0002000000000]
[validate]: [iter 2], [loss 0.15767] [PSNR 14.5968] [SSIM 0.5623] [MSE 0.0355]
[iter 2], [train loss 0.73586], [loss_x_fusion 0.12853], [loss_x_j1 0.14523], [loss_x_j2 0.15005], [loss_x_j3 0.18691], [loss_x_j4 0.12514], [lr 0.0001999910000]
[iter 3], [train loss 0.74074], [loss_x_fusion 0.13028], [loss_x_j1 0.15232], [loss_x_j2 0.14763], [loss_x_j3 0.18575], [loss_x_j4 0.12475], [lr 0.0001999819999]
[iter 4], [train loss 0.72327], [loss_x_fusion 0.12722], [loss_x_j1 0.14328], [loss_x_j2 0.14820], [loss_x_j3 0.17798], [loss_x_j4 0.12659], [lr 0.0001999729998]
[iter 5], [train loss 0.70317], [loss_x_fusion 0.12404], [loss_x_j1 0.13771], [loss_x_j2 0.14747], [loss_x_j3 0.16772], [loss_x_j4 0.12624], [lr 0.0001999639996]
[iter 6], [train loss 0.69515], [loss_x_fusion 0.12352], [loss_x_j1 0.13511], [loss_x_j2 0.14657], [loss_x_j3 0.16253], [loss_x_j4 0.12741], [lr 0.0001999549994]
[iter 7], [train loss 0.68584], [loss_x_fusion 0.12221], [loss_x_j1 0.13079], [loss_x_j2 0.14693], [loss_x_j3 0.16038], [loss_x_j4 0.12553], [lr 0.0001999459992]
[iter 8], [train loss 0.69592], [loss_x_fusion 0.12525], [loss_x_j1 0.13246], [loss_x_j2 0.15017], [loss_x_j3 0.16188], [loss_x_j4 0.12616], [lr 0.0001999369989]
[iter 9], [train loss 0.68193], [loss_x_fusion 0.12304], [loss_x_j1 0.13009], [loss_x_j2 0.14755], [loss_x_j3 0.15789], [loss_x_j4 0.12337], [lr 0.0001999279986]
[iter 10], [train loss 0.67176], [loss_x_fusion 0.12150], [loss_x_j1 0.12818], [loss_x_j2 0.14617], [loss_x_j3 0.15453], [loss_x_j4 0.12137], [lr 0.0001999189982]
