iter: 1000, loss: 0.05776, PSNR: 22.6389, SSIM: 0.8781, MSE: 0.0068
iter: 2000, loss: 0.05294, PSNR: 23.0376, SSIM: 0.8807, MSE: 0.0057
iter: 3000, loss: 0.04525, PSNR: 24.7541, SSIM: 0.8985, MSE: 0.0041
iter: 4000, loss: 0.05590, PSNR: 22.7895, SSIM: 0.8997, MSE: 0.0084
iter: 5000, loss: 0.04303, PSNR: 24.7224, SSIM: 0.9177, MSE: 0.0041
iter: 6000, loss: 0.04272, PSNR: 25.1024, SSIM: 0.9079, MSE: 0.0038
iter: 7000, loss: 0.03561, PSNR: 26.6211, SSIM: 0.9182, MSE: 0.0025
iter: 8000, loss: 0.03639, PSNR: 26.4946, SSIM: 0.9316, MSE: 0.0030
iter: 9000, loss: 0.03788, PSNR: 25.9457, SSIM: 0.9311, MSE: 0.0031
iter: 10000, loss: 0.03899, PSNR: 25.7803, SSIM: 0.9122, MSE: 0.0031
iter: 11000, loss: 0.03582, PSNR: 26.4832, SSIM: 0.9219, MSE: 0.0025
iter: 12000, loss: 0.03587, PSNR: 26.6315, SSIM: 0.9344, MSE: 0.0026
iter: 13000, loss: 0.03811, PSNR: 26.0171, SSIM: 0.9345, MSE: 0.0032
iter: 14000, loss: 0.03930, PSNR: 25.8005, SSIM: 0.9043, MSE: 0.0032
iter: 15000, loss: 0.03367, PSNR: 27.1189, SSIM: 0.9295, MSE: 0.0023
iter: 16000, loss: 0.03038, PSNR: 27.8059, SSIM: 0.9436, MSE: 0.0020
iter: 17000, loss: 0.03590, PSNR: 26.7035, SSIM: 0.9388, MSE: 0.0029
iter: 18000, loss: 0.03391, PSNR: 27.2284, SSIM: 0.9294, MSE: 0.0022
iter: 19000, loss: 0.03246, PSNR: 27.4628, SSIM: 0.9300, MSE: 0.0020
iter: 20000, loss: 0.02930, PSNR: 28.3935, SSIM: 0.9313, MSE: 0.0018
iter: 21000, loss: 0.02933, PSNR: 28.2362, SSIM: 0.9361, MSE: 0.0017
iter: 22000, loss: 0.03041, PSNR: 28.0187, SSIM: 0.9379, MSE: 0.0019
iter: 23000, loss: 0.02914, PSNR: 28.3915, SSIM: 0.9354, MSE: 0.0017
iter: 24000, loss: 0.03248, PSNR: 27.4774, SSIM: 0.9354, MSE: 0.0023
iter: 25000, loss: 0.02721, PSNR: 28.9170, SSIM: 0.9387, MSE: 0.0014
iter: 26000, loss: 0.02822, PSNR: 28.7004, SSIM: 0.9439, MSE: 0.0016
iter: 27000, loss: 0.03197, PSNR: 27.7146, SSIM: 0.9392, MSE: 0.0021
iter: 28000, loss: 0.03203, PSNR: 27.5136, SSIM: 0.9394, MSE: 0.0024
iter: 29000, loss: 0.02953, PSNR: 28.2532, SSIM: 0.9343, MSE: 0.0016
iter: 30000, loss: 0.03245, PSNR: 27.4472, SSIM: 0.9213, MSE: 0.0019
iter: 31000, loss: 0.02952, PSNR: 28.4367, SSIM: 0.9352, MSE: 0.0016
iter: 32000, loss: 0.03036, PSNR: 28.0983, SSIM: 0.9446, MSE: 0.0018
iter: 33000, loss: 0.02692, PSNR: 29.1038, SSIM: 0.9407, MSE: 0.0014
iter: 34000, loss: 0.02990, PSNR: 28.1880, SSIM: 0.9265, MSE: 0.0016
iter: 35000, loss: 0.02703, PSNR: 29.1104, SSIM: 0.9378, MSE: 0.0014
iter: 36000, loss: 0.02527, PSNR: 29.6970, SSIM: 0.9391, MSE: 0.0012
iter: 37000, loss: 0.02569, PSNR: 29.3930, SSIM: 0.9517, MSE: 0.0013
iter: 38000, loss: 0.02690, PSNR: 29.0506, SSIM: 0.9406, MSE: 0.0014
iter: 39000, loss: 0.02792, PSNR: 28.7927, SSIM: 0.9419, MSE: 0.0015
iter: 40000, loss: 0.02676, PSNR: 29.1158, SSIM: 0.9412, MSE: 0.0014

Maximum PSNR: 29.6970
Maximum SSIM: 0.9517
Minimum MSE: 0.0012
