iter: 1000, loss: 0.02307, PSNR: 29.9981, SSIM: 0.9378, MSE: 0.0011
iter: 2000, loss: 0.02826, PSNR: 28.8454, SSIM: 0.9423, MSE: 0.0034
iter: 3000, loss: 0.02178, PSNR: 30.4431, SSIM: 0.9531, MSE: 0.0011
iter: 4000, loss: 0.01834, PSNR: 31.7916, SSIM: 0.9605, MSE: 0.0008
iter: 5000, loss: 0.02167, PSNR: 30.6621, SSIM: 0.9653, MSE: 0.0010
iter: 6000, loss: 0.02334, PSNR: 30.1203, SSIM: 0.9557, MSE: 0.0014
iter: 7000, loss: 0.02092, PSNR: 31.1587, SSIM: 0.9654, MSE: 0.0010
iter: 8000, loss: 0.01826, PSNR: 31.6954, SSIM: 0.9614, MSE: 0.0008
iter: 9000, loss: 0.02404, PSNR: 30.0376, SSIM: 0.9537, MSE: 0.0012
iter: 10000, loss: 0.01651, PSNR: 32.7407, SSIM: 0.9660, MSE: 0.0006
iter: 11000, loss: 0.01701, PSNR: 32.3051, SSIM: 0.9685, MSE: 0.0007
iter: 12000, loss: 0.01688, PSNR: 32.3133, SSIM: 0.9686, MSE: 0.0007
iter: 13000, loss: 0.01604, PSNR: 33.0409, SSIM: 0.9712, MSE: 0.0006
iter: 14000, loss: 0.01441, PSNR: 33.7622, SSIM: 0.9743, MSE: 0.0005
iter: 15000, loss: 0.01584, PSNR: 32.9459, SSIM: 0.9730, MSE: 0.0006
iter: 16000, loss: 0.01678, PSNR: 32.6920, SSIM: 0.9737, MSE: 0.0006
iter: 17000, loss: 0.01509, PSNR: 33.4068, SSIM: 0.9717, MSE: 0.0005
iter: 18000, loss: 0.01579, PSNR: 33.1726, SSIM: 0.9735, MSE: 0.0006
iter: 19000, loss: 0.01360, PSNR: 34.0957, SSIM: 0.9772, MSE: 0.0005
iter: 20000, loss: 0.01694, PSNR: 32.6738, SSIM: 0.9736, MSE: 0.0007
iter: 21000, loss: 0.01887, PSNR: 32.1052, SSIM: 0.9707, MSE: 0.0008
iter: 22000, loss: 0.01461, PSNR: 33.5939, SSIM: 0.9754, MSE: 0.0005
iter: 23000, loss: 0.01580, PSNR: 33.2689, SSIM: 0.9747, MSE: 0.0006
iter: 24000, loss: 0.01433, PSNR: 33.9460, SSIM: 0.9765, MSE: 0.0005
iter: 25000, loss: 0.01378, PSNR: 34.1783, SSIM: 0.9775, MSE: 0.0005
iter: 26000, loss: 0.01871, PSNR: 31.9206, SSIM: 0.9699, MSE: 0.0009
iter: 27000, loss: 0.01291, PSNR: 34.5050, SSIM: 0.9777, MSE: 0.0004
iter: 28000, loss: 0.01373, PSNR: 34.3357, SSIM: 0.9789, MSE: 0.0004
iter: 29000, loss: 0.01640, PSNR: 32.5885, SSIM: 0.9747, MSE: 0.0007
iter: 30000, loss: 0.01270, PSNR: 34.7271, SSIM: 0.9786, MSE: 0.0004
iter: 31000, loss: 0.01387, PSNR: 34.1181, SSIM: 0.9764, MSE: 0.0005
iter: 32000, loss: 0.01359, PSNR: 34.3587, SSIM: 0.9788, MSE: 0.0004
iter: 33000, loss: 0.01276, PSNR: 34.7893, SSIM: 0.9808, MSE: 0.0004
iter: 34000, loss: 0.01202, PSNR: 35.1237, SSIM: 0.9817, MSE: 0.0004
iter: 35000, loss: 0.01458, PSNR: 33.8303, SSIM: 0.9779, MSE: 0.0005
iter: 36000, loss: 0.01395, PSNR: 33.8264, SSIM: 0.9769, MSE: 0.0005
iter: 37000, loss: 0.01361, PSNR: 34.4032, SSIM: 0.9794, MSE: 0.0004
iter: 38000, loss: 0.01324, PSNR: 34.5897, SSIM: 0.9785, MSE: 0.0004
iter: 39000, loss: 0.01242, PSNR: 35.0020, SSIM: 0.9806, MSE: 0.0004
iter: 40000, loss: 0.01160, PSNR: 35.5365, SSIM: 0.9795, MSE: 0.0003
iter: 41000, loss: 0.01339, PSNR: 34.4334, SSIM: 0.9793, MSE: 0.0005
iter: 42000, loss: 0.01519, PSNR: 33.6114, SSIM: 0.9787, MSE: 0.0005
iter: 43000, loss: 0.01250, PSNR: 34.8978, SSIM: 0.9808, MSE: 0.0004
iter: 44000, loss: 0.01142, PSNR: 35.4737, SSIM: 0.9812, MSE: 0.0003
iter: 45000, loss: 0.01255, PSNR: 34.9301, SSIM: 0.9794, MSE: 0.0004
iter: 46000, loss: 0.01298, PSNR: 34.6803, SSIM: 0.9797, MSE: 0.0004

Maximum PSNR: 35.5365
Maximum SSIM: 0.9817
Minimum MSE: 0.0003
